L,PTI,Teknologi Multimedia,,,A,A,,,Dinas Kebudayaan dan Pariwisata Provinsi Jawa Timur,Surabaya
L,PTI,Teknologi Multimedia,,,A-,A,,,Balai Riset dan Standardisasi Industri Surabaya,Surabaya
L,PTI,Teknologi Multimedia,,,A,A,,B,Dinas sosial Kabupaten Sidoarjo,Sidoarjo
L,PTI,Teknologi Multimedia,,,A-,A,,,Kementrian Agama Jawa Timur,Sidoarjo
L,PTI,Rekayasa Perangkat Lunak,A-,A-,,,,,PT. SALWA ANUGERAH SEMESTA,Surabaya
L,PTI,Teknologi Multimedia,,,B,B,,,Graha Kreatif Investama Group,Surabaya
L,PTI,Teknologi Multimedia,,,B+,A,,,Balai Riset dan Standardisasi Industri Surabaya,Surabaya
L,PTI,Rekayasa Perangkat Lunak,,,,,A,A,PT KIPA TEKNOLOGI INDONESIA,Malang
L,PTI,Teknologi Jaringan,A,A,,,,,Lembaga Penjaminan Mutu Pendidikan (LPMP) Provinsi Jawa Timur,Surabaya
L,PTI,Rekayasa Perangkat Lunak,,,,,A-,A,Badan Penelitian dan Pengembangan Provinsi Jawa Timur,Surabaya
L,PTI,Rekayasa Perangkat Lunak,,,,,B,B,CV. ELECTRA GROUP,Surabaya
L,PTI,Rekayasa Perangkat Lunak,,,,,A,A-,Balai Riset dan Standardisasi Industri Surabaya,Surabaya
L,PTI,Teknologi Multimedia,,,A,A,,B,Dinas sosial Kabupaten Sidoarjo,Sidoarjo
L,PTI,Teknologi Jaringan,A,A,,,,,Lembaga Penjaminan Mutu Pendidikan (LPMP) Provinsi Jawa Timur,Surabaya
L,PTI,Teknologi Jaringan,A,A,,,,,PDAM Surya Sembada Kota Surabaya,Surabaya
L,PTI,Teknologi Multimedia,,,A,A-,,,Badan Perencanaan Pembangunan Kota Surabaya,Surabaya
L,PTI,Rekayasa Perangkat Lunak,A-,A-,,,,,PT. SALWA ANUGERAH SEMESTA,Surabaya
L,PTI,Rekayasa Perangkat Lunak,,,,,A,A-,Balai Riset dan Standardisasi Industri Surabaya,Surabaya
L,PTI,Teknologi Jaringan,B+,B,,,,,PDAM Surya Sembada Kota Surabaya,Surabaya
L,PTI,Rekayasa Perangkat Lunak,,,,,A-,B+,CV. ELECTRA GROUP,Surabaya
L,PTI,Rekayasa Perangkat Lunak,,,A,B+,,,Kementrian Agama Jawa Timur,Sidoarjo
L,PTI,Teknologi Multimedia,,,B,A,,,Badan Perencanaan Pembangunan Kota Surabaya,Surabaya
L,PTI,Teknologi Multimedia,,,A-,A,,B+,Kementrian Agama Jawa Timur,Sidoarjo
P,PTI,Teknologi Multimedia,,,A-,A,,,Dispendukcapil Kota Surabaya,Surabaya
P,PTI,Teknologi Jaringan,A,B,,,,,PDAM Surya Sembada Kota Surabaya,Surabaya
P,PTI,Rekayasa Perangkat Lunak,,,,,A,A-,Badan Penelitian dan Pengembangan Provinsi Jawa Timur,Surabaya
P,PTI,Rekayasa Perangkat Lunak,,,,,A-,A,Kantor pos surabaya selatan,Surabaya
P,PTI,Rekayasa Perangkat Lunak,,,,,A,A-,Kantor Pos Surabaya Selatan,Surabaya
P,PTI,Rekayasa Perangkat Lunak,,,,,A-,A,PT. Telekomunikasi Seluler,Surabaya
P,PTI,Teknologi Jaringan,A,A,,,,,Dinas Pendidikan Kota Surabaya,Surabaya
P,PTI,Teknologi Multimedia,,,B,A,,B,DINAS SOSIAL JAWA TIMUR,Surabaya
P,PTI,Teknologi Jaringan,B+,A,,,,,DINAS PENDIDIKAN UPT. TIKP,Surabaya
P,PTI,Rekayasa Perangkat Lunak,,,,,A-,A-,CV. ELECTRA GROUP,Surabaya
P,PTI,Teknologi Jaringan,A,A,,,,,Kantor Dinas Kependudukan dan Pencatatan Sipil Kota Surabaya,Surabaya
P,PTI,Teknologi Jaringan,A,A,,,,,Dinas Pendidikan Provinsi Jawa Timur,Surabaya
P,PTI,Teknologi Multimedia,,,A-,A,,,Balai Riset dan Standardisasi Industri Surabaya,Surabaya
P,PTI,Teknologi Multimedia,,,A,A,,,DINAS SOSIAL JAWA TIMUR,surabaya
P,PTI,Teknologi Jaringan,B+,A-,,,,,DINAS SOSIAL JAWA TIMUR,Surabaya
P,PTI,Teknologi Multimedia,,,A-,A,,,DINAS SOSIAL JAWA TIMUR,Surabaya
P,PTI,Teknologi Multimedia,,,A-,A,,,Dinas Kebudayaan dan Pariwisata Provinsi Jawa Timur,Surabaya
